City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Marmande,FR,2022-05-10 19:28:18,44.5,0.1667,73.71,50,16,5.88
208,Kharhial,IN,2022-05-10 19:28:19,20.2833,82.7667,84.02,64,100,7.31
209,Sayyan,YE,2022-05-10 19:28:19,15.1718,44.3244,68.59,23,86,6.13
210,Clyde River,CA,2022-05-10 19:28:20,70.4692,-68.5914,28.63,64,0,9.22
211,Puerto Del Rosario,ES,2022-05-10 19:28:20,28.5004,-13.8627,71.35,83,0,6.91
212,Barrow,US,2022-05-10 19:26:16,71.2906,-156.7887,24.82,80,100,10.36
213,Severomorsk,RU,2022-05-10 19:28:21,69.0689,33.4162,43.2,94,100,5.41
214,Pangnirtung,CA,2022-05-10 19:28:21,66.1451,-65.7125,30.2,80,20,10.36
215,Rio Gallegos,AR,2022-05-10 19:26:03,-51.6226,-69.2181,50.05,50,0,8.05
216,Horsham,GB,2022-05-10 19:28:22,51.064,-0.3272,62.31,70,0,10.36
217,Bathsheba,BB,2022-05-10 19:28:22,13.2167,-59.5167,84.81,65,20,17.27
218,Nemuro,JP,2022-05-10 19:28:22,43.3236,145.575,41.63,71,0,2.26
219,Yuzhno-Kurilsk,RU,2022-05-10 19:28:23,44.0306,145.8556,40.5,72,0,4.72
220,Vila Velha,BR,2022-05-10 19:28:23,-20.3297,-40.2925,78.75,69,40,13.8
221,Jaen,ES,2022-05-10 19:25:08,38.0,-3.5,75.42,36,89,7.27
222,Ende,ID,2022-05-10 19:26:16,-8.8432,121.6623,76.05,81,89,0.98
223,Hovd,MN,2022-05-10 19:28:24,48.0056,91.6419,40.48,29,1,3.53
224,San Andres,CO,2022-05-10 19:29:25,12.5847,-81.7006,86.02,74,20,9.22
225,Venado Tuerto,AR,2022-05-10 19:29:25,-33.7456,-61.9688,68.77,37,15,9.31
226,Matara,LK,2022-05-10 19:29:26,5.9485,80.5353,80.19,87,100,16.24
227,Moussoro,TD,2022-05-10 19:29:26,13.6408,16.4901,97.02,26,67,12.66
228,Key West,US,2022-05-10 19:29:27,24.5557,-81.7826,89.6,50,0,10.36
229,Raudeberg,NO,2022-05-10 19:29:27,61.9875,5.1352,47.95,86,55,25.79
230,Gladstone,AU,2022-05-10 19:29:27,-23.85,151.25,71.53,83,75,13.8
231,Huanren,CN,2022-05-10 19:29:31,41.2647,125.3667,51.93,67,100,4.52
232,Kununurra,AU,2022-05-10 19:29:32,-15.7667,128.7333,60.78,82,9,0.0
233,Vievis,LT,2022-05-10 19:29:32,54.7667,24.8,54.16,67,99,6.51
234,Coquimbo,CL,2022-05-10 19:29:33,-29.9533,-71.3436,60.53,82,20,16.11
235,Tabou,CI,2022-05-10 19:29:33,4.423,-7.3528,80.6,82,100,7.67
236,Craig,US,2022-05-10 19:25:01,40.5153,-107.5464,67.39,18,0,25.32
237,Butiama,TZ,2022-05-10 19:29:34,-1.7667,33.9667,61.65,96,86,4.21
238,Kandiari,PK,2022-05-10 19:29:34,26.9156,68.5216,92.55,43,0,13.49
239,San Cristobal,VE,2022-05-10 19:29:35,7.7669,-72.225,77.18,72,97,5.06
240,Faya,SA,2022-05-10 19:29:35,18.3851,42.4509,69.91,58,51,5.55
241,Envira,BR,2022-05-10 19:29:35,-7.3,-70.2167,80.69,90,99,1.19
242,Whitefish,US,2022-05-10 19:29:36,48.4111,-114.3376,50.5,49,100,6.91
243,Anadyr,RU,2022-05-10 19:29:36,64.75,177.4833,39.7,75,75,4.47
244,Henties Bay,NA,2022-05-10 19:29:37,-22.116,14.2845,62.94,70,0,6.8
245,Bose,IT,2022-05-10 19:29:37,45.4612,8.0137,66.65,72,21,2.95
246,Saldanha,ZA,2022-05-10 19:29:38,-33.0117,17.9442,59.05,93,62,8.37
247,Jumla,NP,2022-05-10 19:29:38,29.2747,82.1838,57.0,89,96,1.66
248,Fayaoue,NC,2022-05-10 19:29:38,-20.65,166.5333,75.65,78,100,23.85
249,Sarkikaraagac,TR,2022-05-10 19:29:39,38.0794,31.3664,55.92,53,100,3.11
250,Kibala,TD,2022-05-10 19:29:39,9.1104,18.3463,89.55,55,20,0.0
251,Aykhal,RU,2022-05-10 19:29:40,66.0,111.5,19.81,94,89,7.65
252,Badarganj,BD,2022-05-10 19:29:40,25.674,89.0549,74.64,94,28,7.27
253,Santiago,CL,2022-05-10 19:25:46,-33.4569,-70.6483,78.28,34,99,12.66
254,Castro,BR,2022-05-10 19:26:41,-24.7911,-50.0119,69.84,66,38,5.26
255,Asosa,ET,2022-05-10 19:29:41,10.0667,34.5333,69.64,65,75,1.57
256,Bonthe,SL,2022-05-10 19:29:41,7.5264,-12.505,81.55,78,100,8.63
257,Salalah,OM,2022-05-10 19:29:42,17.0151,54.0924,82.49,83,0,4.61
258,Lang Son,VN,2022-05-10 19:29:42,21.8333,106.7333,73.38,99,100,1.9
259,Kholtoson,RU,2022-05-10 19:29:42,50.2981,103.3097,24.49,61,87,2.33
260,Nizhneangarsk,RU,2022-05-10 19:29:44,55.7833,109.55,25.05,77,2,5.73
261,Mountain Home,US,2022-05-10 19:28:41,43.133,-115.6912,47.68,43,20,5.75
262,Aiquile,BO,2022-05-10 19:29:45,-18.2041,-65.1807,72.55,41,12,12.06
263,Antofagasta,CL,2022-05-10 19:29:45,-23.65,-70.4,63.68,65,0,6.13
264,San Quintin,MX,2022-05-10 19:29:45,30.4833,-115.95,65.26,58,7,22.59
265,Whitianga,NZ,2022-05-10 19:29:46,-36.8333,175.7,49.28,75,1,10.8
266,Katsuura,JP,2022-05-10 19:27:22,35.1333,140.3,57.56,88,100,9.24
267,Deputatskiy,RU,2022-05-10 19:29:46,69.3,139.9,-3.37,96,16,5.1
268,Bethel,US,2022-05-10 19:28:37,41.3712,-73.414,74.05,31,0,12.66
269,Nome,US,2022-05-10 19:30:47,64.5011,-165.4064,28.47,99,100,8.05
270,Lumajang,ID,2022-05-10 19:30:47,-8.1335,113.2248,75.27,95,72,0.4
271,Moose Factory,CA,2022-05-10 19:30:48,51.2585,-80.6094,78.8,36,40,21.85
272,Chapleau,CA,2022-05-10 19:30:48,47.8405,-83.4034,82.49,39,20,12.66
273,Santiago De Cao,PE,2022-05-10 19:30:49,-7.9589,-79.2392,66.33,77,75,12.66
274,Armeria,MX,2022-05-10 19:28:46,18.9333,-103.9667,88.38,50,61,7.94
275,Bambous Virieux,MU,2022-05-10 19:30:49,-20.3428,57.7575,76.21,94,40,5.75
276,Muros,ES,2022-05-10 19:30:50,42.7762,-9.0603,68.85,68,15,7.63
277,Steamboat Springs,US,2022-05-10 19:30:50,40.485,-106.8317,70.93,20,0,12.66
278,Aksha,RU,2022-05-10 19:30:51,50.2814,113.2867,30.36,65,100,8.93
279,Lermontovka,RU,2022-05-10 19:30:51,47.1453,134.3383,54.37,26,60,13.31
280,Aktau,KZ,2022-05-10 19:26:16,43.65,51.2,55.98,81,53,11.77
281,Katima Mulilo,NA,2022-05-10 19:30:51,-17.5,24.2667,65.75,36,0,2.89
282,Terrasini,IT,2022-05-10 19:30:52,38.146,13.0844,64.09,90,20,9.22
283,Goderich,CA,2022-05-10 19:30:52,43.7501,-81.7165,75.52,20,100,12.66
284,Bachaquero,VE,2022-05-10 19:30:53,9.9694,-71.1494,86.27,68,89,4.07
285,Kajaani,FI,2022-05-10 19:30:53,64.2273,27.7285,57.25,44,0,12.66
286,Ereymentau,KZ,2022-05-10 19:30:54,51.6199,73.1033,54.64,41,100,10.92
287,Marovoay,MG,2022-05-10 19:30:54,-16.1,46.6333,72.0,62,0,3.6
